Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9164E-01,6.9658E-02
3.9100E+00,9.7831E-01,1.4584E-01
5.8600E+00,9.5384E-01,2.2165E-01
7.8100E+00,9.2340E-01,2.8711E-01
9.7700E+00,8.8798E-01,3.4779E-01
1.1700E+01,8.4680E-01,4.0688E-01
1.3700E+01,7.9924E-01,4.6558E-01
1.5600E+01,7.4135E-01,5.2010E-01
1.7600E+01,6.8086E-01,5.7342E-01
1.9500E+01,6.1381E-01,6.2455E-01
2.1500E+01,5.3681E-01,6.7290E-01
2.3400E+01,4.5822E-01,7.1548E-01
2.5400E+01,3.7565E-01,7.5547E-01
2.7300E+01,2.8671E-01,7.9049E-01
2.9300E+01,1.9618E-01,8.2053E-01
3.1300E+01,1.0028E-01,8.4680E-01
3.3200E+01,4.2632E-03,8.6689E-01
3.5200E+01,-9.4469E-02,8.8261E-01
3.7100E+01,-1.9419E-01,8.9097E-01
3.9100E+01,-2.9646E-01,8.9455E-01
4.1000E+01,-3.9813E-01,8.9236E-01
4.3000E+01,-4.9801E-01,8.8818E-01
4.4900E+01,-6.0207E-01,8.7386E-01
4.6900E+01,-6.9479E-01,8.5356E-01
4.8800E+01,-7.9009E-01,8.2690E-01
5.0800E+01,-8.8500E-01,7.9666E-01
5.2700E+01,-9.7453E-01,7.6124E-01
5.4700E+01,-1.0585E+00,7.1707E-01
5.6600E+01,-1.1421E+00,6.6912E-01
5.8600E+01,-1.2177E+00,6.1639E-01
6.0500E+01,-1.2853E+00,5.5830E-01
6.2500E+01,-1.3510E+00,4.9662E-01
6.4500E+01,-1.4087E+00,4.2658E-01
6.6400E+01,-1.4604E+00,3.5595E-01
6.8400E+01,-1.5022E+00,2.8114E-01
7.0300E+01,-1.5380E+00,2.0275E-01
7.2300E+01,-1.5659E+00,1.1878E-01
7.4200E+01,-1.5858E+00,3.5117E-02
7.6200E+01,-1.5937E+00,-5.0537E-02
7.8100E+01,-1.6017E+00,-1.4067E-01
8.0100E+01,-1.5937E+00,-2.3120E-01
8.2000E+01,-1.5798E+00,-3.2014E-01
8.4000E+01,-1.5539E+00,-4.1385E-01
8.5900E+01,-1.5261E+00,-5.0159E-01
8.7900E+01,-1.4823E+00,-5.9053E-01
8.9800E+01,-1.4345E+00,-6.7728E-01
9.1800E+01,-1.3749E+00,-7.6900E-01
9.3800E+01,-1.3112E+00,-8.5495E-01
9.5700E+01,-1.2336E+00,-9.3295E-01
9.7700E+01,-1.1560E+00,-1.0088E+00
9.9600E+01,-1.0645E+00,-1.0824E+00
1.0200E+02,-9.6936E-01,-1.1540E+00
1.0400E+02,-8.6689E-01,-1.2216E+00
1.0500E+02,-7.5647E-01,-1.2774E+00
1.0700E+02,-6.4664E-01,-1.3351E+00
1.0900E+02,-5.2606E-01,-1.3808E+00
1.1100E+02,-3.9833E-01,-1.4226E+00
1.1300E+02,-2.6741E-01,-1.4584E+00
1.1500E+02,-1.4266E-01,-1.4843E+00
1.1700E+02,-3.1072E-03,-1.5022E+00
1.1900E+02,1.2973E-01,-1.5161E+00
1.2100E+02,2.6562E-01,-1.5201E+00
1.2300E+02,4.1007E-01,-1.5161E+00
1.2500E+02,5.4656E-01,-1.5101E+00
1.2700E+02,6.8623E-01,-1.4843E+00
1.2900E+02,8.1994E-01,-1.4544E+00
1.3100E+02,9.5742E-01,-1.4166E+00
1.3300E+02,1.0903E+00,-1.3689E+00
1.3500E+02,1.2177E+00,-1.3191E+00
1.3700E+02,1.3430E+00,-1.2535E+00
1.3900E+02,1.4624E+00,-1.1838E+00
1.4100E+02,1.5778E+00,-1.1062E+00
1.4300E+02,1.6832E+00,-1.0187E+00
1.4500E+02,1.7887E+00,-9.2400E-01
1.4600E+02,1.8842E+00,-8.1576E-01
1.4800E+02,1.9638E+00,-7.1269E-01
1.5000E+02,2.0434E+00,-6.0267E-01
1.5200E+02,2.1070E+00,-4.8050E-01
1.5400E+02,2.1667E+00,-3.5615E-01
1.5600E+02,2.2165E+00,-2.2264E-01
1.5800E+02,2.2523E+00,-8.6590E-02
1.6000E+02,2.2782E+00,5.1890E-02
1.6200E+02,2.2961E+00,1.9320E-01
1.6400E+02,2.2961E+00,3.3904E-01
1.6600E+02,2.2881E+00,4.8567E-01
1.6800E+02,2.2682E+00,6.3052E-01
