Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9343E-01,6.4225E-02
3.9100E+00,9.8069E-01,1.3279E-01
5.8600E+00,9.5859E-01,2.0187E-01
7.8100E+00,9.3251E-01,2.6100E-01
9.7700E+00,9.0125E-01,3.1634E-01
1.1700E+01,8.6482E-01,3.7169E-01
1.3700E+01,8.2242E-01,4.2544E-01
1.5600E+01,7.7065E-01,4.7621E-01
1.7600E+01,7.1730E-01,5.2618E-01
1.9500E+01,6.5758E-01,5.7376E-01
2.1500E+01,5.8829E-01,6.2015E-01
2.3400E+01,5.1782E-01,6.6176E-01
2.5400E+01,4.4396E-01,7.0098E-01
2.7300E+01,3.6353E-01,7.3621E-01
2.9300E+01,2.8151E-01,7.6727E-01
3.1300E+01,1.9411E-01,7.9554E-01
3.3200E+01,1.0691E-01,8.1883E-01
3.5200E+01,1.6564E-02,8.3795E-01
3.7100E+01,-7.5333E-02,8.5128E-01
3.9100E+01,-1.6982E-01,8.6064E-01
4.1000E+01,-2.6498E-01,8.6522E-01
4.3000E+01,-3.5835E-01,8.6821E-01
4.4900E+01,-4.5630E-01,8.6263E-01
4.6900E+01,-5.4529E-01,8.5128E-01
4.8800E+01,-6.3747E-01,8.3476E-01
5.0800E+01,-7.2964E-01,8.1605E-01
5.2700E+01,-8.1804E-01,7.9196E-01
5.4700E+01,-9.0305E-01,7.6030E-01
5.6600E+01,-9.8706E-01,7.2506E-01
5.8600E+01,-1.0651E+00,6.8565E-01
6.0500E+01,-1.1368E+00,6.4085E-01
6.2500E+01,-1.2045E+00,5.9307E-01
6.4500E+01,-1.2741E+00,5.3733E-01
6.6400E+01,-1.3339E+00,4.8019E-01
6.8400E+01,-1.3836E+00,4.1987E-01
7.0300E+01,-1.4334E+00,3.5537E-01
7.2300E+01,-1.4752E+00,2.8588E-01
7.4200E+01,-1.5071E+00,2.1481E-01
7.6200E+01,-1.5329E+00,1.4155E-01
7.8100E+01,-1.5568E+00,6.3627E-02
8.0100E+01,-1.5688E+00,-1.5986E-02
8.2000E+01,-1.5748E+00,-9.4903E-02
8.4000E+01,-1.5728E+00,-1.7878E-01
8.5900E+01,-1.5648E+00,-2.5921E-01
8.7900E+01,-1.5489E+00,-3.4203E-01
8.9800E+01,-1.5230E+00,-4.2325E-01
9.1800E+01,-1.4911E+00,-5.1105E-01
9.3800E+01,-1.4533E+00,-5.9427E-01
9.5700E+01,-1.4035E+00,-6.7251E-01
9.7700E+01,-1.3478E+00,-7.4935E-01
9.9600E+01,-1.2841E+00,-8.2879E-01
1.0200E+02,-1.2144E+00,-9.0325E-01
1.0400E+02,-1.1388E+00,-9.7571E-01
1.0500E+02,-1.0551E+00,-1.0452E+00
1.0700E+02,-9.7153E-01,-1.1109E+00
1.0900E+02,-8.7537E-01,-1.1686E+00
1.1100E+02,-7.7165E-01,-1.2264E+00
1.1300E+02,-6.6434E-01,-1.2801E+00
1.1500E+02,-5.5923E-01,-1.3239E+00
1.1700E+02,-4.4037E-01,-1.3657E+00
1.1900E+02,-3.2610E-01,-1.4055E+00
1.2100E+02,-2.0506E-01,-1.4294E+00
1.2300E+02,-7.6289E-02,-1.4533E+00
1.2500E+02,4.7263E-02,-1.4772E+00
1.2700E+02,1.7758E-01,-1.4832E+00
1.2900E+02,3.0360E-01,-1.4832E+00
1.3100E+02,4.3699E-01,-1.4792E+00
1.3300E+02,5.6719E-01,-1.4673E+00
1.3500E+02,6.9460E-01,-1.4513E+00
1.3700E+02,8.2560E-01,-1.4235E+00
1.3900E+02,9.5262E-01,-1.3916E+00
1.4100E+02,1.0790E+00,-1.3518E+00
1.4300E+02,1.1965E+00,-1.3020E+00
1.4500E+02,1.3159E+00,-1.2483E+00
1.4600E+02,1.4374E+00,-1.1826E+00
1.4800E+02,1.5409E+00,-1.1169E+00
1.5000E+02,1.6464E+00,-1.0452E+00
1.5200E+02,1.7420E+00,-9.5799E-01
1.5400E+02,1.8356E+00,-8.6960E-01
1.5600E+02,1.9192E+00,-7.7125E-01
1.5800E+02,1.9968E+00,-6.6872E-01
1.6000E+02,2.0685E+00,-5.6122E-01
1.6200E+02,2.1342E+00,-4.4953E-01
1.6400E+02,2.1820E+00,-3.3048E-01
1.6600E+02,2.2238E+00,-2.0904E-01
1.6800E+02,2.2616E+00,-8.5228E-02
1.7000E+02,2.2855E+00,3.8483E-02
1.7200E+02,2.3014E+00,1.7281E-01
1.7400E+02,2.3074E+00,3.1495E-01
1.7600E+02,2.2915E+00,4.5212E-01
1.7800E+02,2.2795E+00,5.9128E-01
1.8000E+02,2.2596E+00,7.2228E-01
1.8200E+02,2.2178E+00,8.6323E-01
1.8400E+02,2.1640E+00,1.0002E+00
1.8600E+02,2.1063E+00,1.1388E+00
1.8800E+02,2.0326E+00,1.2801E+00
1.8900E+02,1.9490E+00,1.4055E+00
1.9100E+02,1.8594E+00,1.5489E+00
1.9300E+02,1.7599E+00,1.6643E+00
1.9500E+02,1.6385E+00,1.7798E+00
1.9700E+02,1.5250E+00,1.8993E+00
1.9900E+02,1.3896E+00,2.0068E+00
2.0100E+02,1.2502E+00,2.1262E+00
2.0300E+02,1.0970E+00,2.2178E+00
2.0500E+02,9.4008E-01,2.3153E+00
2.0700E+02,7.8399E-01,2.3890E+00
2.0900E+02,5.9865E-01,2.4647E+00
2.1100E+02,4.1927E-01,2.5304E+00
2.1300E+02,2.2935E-01,2.5881E+00
2.1500E+02,4.3321E-02,2.6339E+00
2.1700E+02,-1.5568E-01,2.6817E+00
2.1900E+02,-3.5895E-01,2.7016E+00
2.2100E+02,-5.6022E-01,2.7036E+00
2.2300E+02,-7.6608E-01,2.7056E+00
2.2500E+02,-9.8885E-01,2.7036E+00
2.2700E+02,-1.1905E+00,2.6976E+00
2.2900E+02,-1.3976E+00,2.6598E+00
2.3000E+02,-1.6046E+00,2.6259E+00
2.3200E+02,-1.8117E+00,2.5642E+00
2.3400E+02,-2.0227E+00,2.4806E+00
2.3600E+02,-2.2218E+00,2.3970E+00
2.3800E+02,-2.4189E+00,2.3074E+00
2.4000E+02,-2.6180E+00,2.2059E+00
2.4200E+02,-2.7932E+00,2.0864E+00
2.4400E+02,-2.9664E+00,1.9570E+00
2.4600E+02,-3.1336E+00,1.7997E+00
2.4800E+02,-3.2968E+00,1.6464E+00
2.5000E+02,-3.4561E+00,1.4812E+00
2.5200E+02,-3.5955E+00,1.2960E+00
2.5400E+02,-3.7269E+00,1.1049E+00
2.5600E+02,-3.8443E+00,9.0563E-01
2.5800E+02,-3.9458E+00,6.9998E-01
2.6000E+02,-4.0394E+00,4.9472E-01
2.6200E+02,-4.1151E+00,2.5801E-01
2.6400E+02,-4.1947E+00,1.7338E-02
2.6600E+02,-4.2385E+00,-2.2556E-01
2.6800E+02,-4.2743E+00,-4.9512E-01
2.7000E+02,-4.2982E+00,-7.4298E-01
2.7100E+02,-4.2743E+00,-1.0050E+00
2.7300E+02,-4.2524E+00,-1.2702E+00
2.7500E+02,-4.2186E+00,-1.5449E+00
2.7700E+02,-4.1569E+00,-1.8216E+00
2.7900E+02,-4.0792E+00,-2.1023E+00
2.8100E+02,-3.9976E+00,-2.3830E+00
2.8300E+02,-3.9001E+00,-2.6538E+00
2.8500E+02,-3.7687E+00,-2.9345E+00
2.8700E+02,-3.6174E+00,-3.1734E+00
2.8900E+02,-3.4422E+00,-3.4282E+00
2.9100E+02,-3.2670E+00,-3.7050E+00
2.9300E+02,-3.0719E+00,-3.9677E+00
2.9500E+02,-2.8549E+00,-4.2146E+00
2.9700E+02,-2.6199E+00,-4.4655E+00
2.9900E+02,-2.3611E+00,-4.7103E+00
3.0100E+02,-2.0824E+00,-4.9253E+00
3.0300E+02,-1.7858E+00,-5.1224E+00
3.0500E+02,-1.4931E+00,-5.3514E+00
3.0700E+02,-1.1766E+00,-5.5445E+00
3.0900E+02,-8.4571E-01,-5.7018E+00
3.1100E+02,-4.9652E-01,-5.8630E+00
3.1300E+02,-1.3956E-01,-6.0163E+00
3.1400E+02,2.4667E-01,-6.1278E+00
3.1600E+02,6.4941E-01,-6.2453E+00
3.1800E+02,1.0201E+00,-6.3647E+00
3.2000E+02,1.4274E+00,-6.4344E+00
3.2200E+02,1.8435E+00,-6.4762E+00
3.2400E+02,2.2616E+00,-6.5240E+00
3.2600E+02,2.6717E+00,-6.5539E+00
3.2800E+02,3.0818E+00,-6.5519E+00
3.3000E+02,3.5099E+00,-6.5260E+00
3.3200E+02,3.9359E+00,-6.4822E+00
3.3400E+02,4.3699E+00,-6.4085E+00
3.3600E+02,4.8119E+00,-6.3030E+00
3.3800E+02,5.2499E+00,-6.1796E+00
3.4000E+02,5.6759E+00,-6.0382E+00
3.4200E+02,6.0681E+00,-5.8790E+00
3.4400E+02,6.4782E+00,-5.7077E+00
3.4600E+02,6.8465E+00,-5.4768E+00
3.4800E+02,7.2745E+00,-5.2299E+00
3.5000E+02,7.6847E+00,-4.9512E+00
3.5200E+02,8.0549E+00,-4.6964E+00
3.5400E+02,8.4014E+00,-4.3699E+00
3.5500E+02,8.7318E+00,-4.0235E+00
3.5700E+02,9.0842E+00,-3.6811E+00
3.5900E+02,9.4047E+00,-3.3028E+00
3.6100E+02,9.6635E+00,-2.9086E+00
3.6300E+02,9.9204E+00,-2.5005E+00
3.6500E+02,1.0173E+01,-2.0685E+00
3.6700E+02,1.0432E+01,-1.6186E+00
3.6900E+02,1.0671E+01,-1.1786E+00
3.7100E+02,1.0850E+01,-6.8385E-01
3.7300E+02,1.0970E+01,-1.8794E-01
3.7500E+02,1.1109E+01,3.2968E-01
3.7700E+02,1.1228E+01,8.7358E-01
3.7900E+02,1.1328E+01,1.4155E+00
3.8100E+02,1.1368E+01,2.0008E+00
3.8300E+02,1.1368E+01,2.5941E+00
3.8500E+02,1.1348E+01,3.1595E+00
3.8700E+02,1.1328E+01,3.7468E+00
3.8900E+02,1.1348E+01,4.3161E+00
3.9100E+02,1.1288E+01,4.9134E+00
3.9300E+02,1.1169E+01,5.5385E+00
3.9500E+02,1.0970E+01,6.1656E+00
3.9600E+02,1.0810E+01,6.7131E+00
3.9800E+02,1.0571E+01,7.2984E+00
4.0000E+02,1.0352E+01,7.8758E+00
4.0200E+02,1.0113E+01,8.5308E+00
