Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9303E-01,1.2299E-01
3.9100E+00,9.6060E-01,2.6010E-01
5.8600E+00,9.1224E-01,3.7791E-01
7.8100E+00,8.5891E-01,4.8458E-01
9.7700E+00,7.8627E-01,5.8328E-01
1.1700E+01,7.0527E-01,6.8040E-01
1.3700E+01,6.0856E-01,7.6517E-01
1.5600E+01,5.0030E-01,8.4498E-01
1.7600E+01,3.8786E-01,9.1582E-01
1.9500E+01,2.5871E-01,9.7632E-01
2.1500E+01,1.2000E-01,1.0249E+00
2.3400E+01,-1.9562E-02,1.0627E+00
2.5400E+01,-1.6418E-01,1.0866E+00
2.7300E+01,-3.1841E-01,1.1005E+00
2.9300E+01,-4.6607E-01,1.0945E+00
3.1300E+01,-6.1791E-01,1.0826E+00
3.3200E+01,-7.6697E-01,1.0567E+00
3.5200E+01,-9.1025E-01,1.0090E+00
3.7100E+01,-1.0468E+00,9.5741E-01
3.9100E+01,-1.1801E+00,8.9075E-01
4.1000E+01,-1.3035E+00,8.0677E-01
4.3000E+01,-1.4109E+00,7.0985E-01
4.4900E+01,-1.5184E+00,6.0498E-01
4.6900E+01,-1.6020E+00,4.8677E-01
4.8800E+01,-1.6736E+00,3.6597E-01
5.0800E+01,-1.7294E+00,2.3104E-01
5.2700E+01,-1.7672E+00,8.9134E-02
5.4700E+01,-1.7950E+00,-5.6179E-02
5.6600E+01,-1.8010E+00,-2.0438E-01
5.8600E+01,-1.7871E+00,-3.5881E-01
6.0500E+01,-1.7612E+00,-5.0726E-01
6.2500E+01,-1.7035E+00,-6.6308E-01
6.4500E+01,-1.6418E+00,-8.1254E-01
6.6400E+01,-1.5602E+00,-9.6020E-01
6.8400E+01,-1.4507E+00,-1.0965E+00
7.0300E+01,-1.3353E+00,-1.2338E+00
7.2300E+01,-1.1940E+00,-1.3552E+00
7.4200E+01,-1.0468E+00,-1.4726E+00
7.6200E+01,-8.8318E-01,-1.5741E+00
7.8100E+01,-7.0706E-01,-1.6657E+00
8.0100E+01,-5.1861E-01,-1.7433E+00
8.2000E+01,-3.2498E-01,-1.7990E+00
8.4000E+01,-1.2139E-01,-1.8468E+00
8.5900E+01,8.6746E-02,-1.8706E+00
8.7900E+01,3.0308E-01,-1.8806E+00
8.9800E+01,5.1562E-01,-1.8706E+00
9.1800E+01,7.2836E-01,-1.8448E+00
9.3800E+01,9.4308E-01,-1.7990E+00
9.5700E+01,1.1522E+00,-1.7313E+00
9.7700E+01,1.3493E+00,-1.6498E+00
9.9600E+01,1.5502E+00,-1.5502E+00
1.0200E+02,1.7294E+00,-1.4328E+00
1.0400E+02,1.8945E+00,-1.2896E+00
1.0500E+02,2.0577E+00,-1.1363E+00
1.0700E+02,2.1950E+00,-9.7294E-01
1.0900E+02,2.3144E+00,-7.8627E-01
1.1100E+02,2.4179E+00,-5.8706E-01
1.1300E+02,2.5035E+00,-3.8826E-01
1.1500E+02,2.5652E+00,-1.6975E-01
1.1700E+02,2.6050E+00,5.4408E-02
1.1900E+02,2.6109E+00,2.7821E-01
1.2100E+02,2.6030E+00,5.2179E-01
1.2300E+02,2.5672E+00,7.4647E-01
1.2500E+02,2.4995E+00,9.7154E-01
1.2700E+02,2.4139E+00,1.2080E+00
1.2900E+02,2.3085E+00,1.4388E+00
1.3100E+02,2.1751E+00,1.6517E+00
1.3300E+02,2.0159E+00,1.8547E+00
1.3500E+02,1.8368E+00,2.0517E+00
1.3700E+02,1.6378E+00,2.2368E+00
1.3900E+02,1.4169E+00,2.3940E+00
1.4100E+02,1.1662E+00,2.5453E+00
1.4300E+02,9.1184E-01,2.6706E+00
1.4500E+02,6.4378E-01,2.7801E+00
1.4600E+02,3.6020E-01,2.8657E+00
1.4800E+02,6.9652E-02,2.9254E+00
1.5000E+02,-2.3741E-01,2.9572E+00
1.5200E+02,-5.3751E-01,2.9672E+00
1.5400E+02,-8.5990E-01,2.9413E+00
1.5600E+02,-1.1622E+00,2.8955E+00
1.5800E+02,-1.4726E+00,2.8159E+00
1.6000E+02,-1.7751E+00,2.7164E+00
1.6200E+02,-2.0697E+00,2.5891E+00
1.6400E+02,-2.3403E+00,2.4279E+00
1.6600E+02,-2.6050E+00,2.2547E+00
1.6800E+02,-2.8517E+00,2.0418E+00
1.7000E+02,-3.0965E+00,1.8109E+00
1.7200E+02,-3.3015E+00,1.5542E+00
