Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9393E-01,2.0222E-01
3.9100E+00,9.4338E-01,4.0546E-01
5.8600E+00,8.5743E-01,5.9757E-01
7.8100E+00,7.3407E-01,7.5531E-01
9.7700E+00,6.1072E-01,9.1810E-01
1.1700E+01,4.6714E-01,1.0313E+00
1.3700E+01,2.7300E-01,1.1325E+00
1.5600E+01,8.3215E-02,1.2235E+00
1.7600E+01,-1.1628E-01,1.2841E+00
1.9500E+01,-3.2053E-01,1.3145E+00
2.1500E+01,-5.5106E-01,1.3246E+00
2.3400E+01,-7.7250E-01,1.3145E+00
2.5400E+01,-9.6866E-01,1.2740E+00
2.7300E+01,-1.2032E+00,1.1830E+00
2.9300E+01,-1.4055E+00,1.0819E+00
3.1300E+01,-1.5875E+00,9.6158E-01
3.3200E+01,-1.7290E+00,8.0384E-01
3.5200E+01,-1.8908E+00,6.1577E-01
3.7100E+01,-1.9818E+00,4.4388E-01
3.9100E+01,-2.0627E+00,2.2042E-01
4.1000E+01,-2.1234E+00,-2.5986E-02
4.3000E+01,-2.1234E+00,-2.4469E-01
4.4900E+01,-2.0829E+00,-5.0051E-01
4.6900E+01,-2.0425E+00,-7.6036E-01
4.8800E+01,-1.9515E+00,-9.7978E-01
5.0800E+01,-1.8200E+00,-1.2235E+00
5.2700E+01,-1.6582E+00,-1.4459E+00
5.4700E+01,-1.4661E+00,-1.6481E+00
5.6600E+01,-1.2437E+00,-1.8301E+00
5.8600E+01,-9.7674E-01,-1.9919E+00
6.0500E+01,-6.8150E-01,-2.1234E+00
6.2500E+01,-4.0647E-01,-2.2245E+00
6.4500E+01,-9.7877E-02,-2.2851E+00
6.6400E+01,2.2952E-01,-2.3155E+00
6.8400E+01,5.5915E-01,-2.3155E+00
7.0300E+01,8.9788E-01,-2.2649E+00
7.2300E+01,1.2032E+00,-2.1840E+00
7.4200E+01,1.4965E+00,-2.0425E+00
7.6200E+01,1.8099E+00,-1.9009E+00
7.8100E+01,2.0728E+00,-1.7189E+00
8.0100E+01,2.3256E+00,-1.4661E+00
8.2000E+01,2.5480E+00,-1.2437E+00
8.4000E+01,2.7401E+00,-9.2214E-01
8.5900E+01,2.8918E+00,-6.0465E-01
8.7900E+01,2.9828E+00,-2.6795E-01
8.9800E+01,3.0435E+00,6.3498E-02
9.1800E+01,3.0435E+00,4.3782E-01
9.3800E+01,2.9929E+00,8.1193E-01
9.5700E+01,2.9019E+00,1.1830E+00
