Freq (Hz),Real,Imaginary
2.4800E+02,-2.5645E-01,-4.7164E+00
2.5000E+02,1.7572E-01,-4.7679E+00
2.5200E+02,5.5891E-01,-4.7977E+00
2.5400E+02,9.6589E-01,-4.7898E+00
2.5600E+02,1.4002E+00,-4.7818E+00
2.5800E+02,1.8207E+00,-4.7422E+00
2.6000E+02,2.2233E+00,-4.6886E+00
2.6200E+02,2.6458E+00,-4.5736E+00
2.6400E+02,3.0563E+00,-4.3990E+00
2.6600E+02,3.4649E+00,-4.2205E+00
2.6800E+02,3.8635E+00,-4.0024E+00
2.7000E+02,4.2166E+00,-3.7783E+00
2.7100E+02,4.5736E+00,-3.5105E+00
2.7300E+02,4.9385E+00,-3.1971E+00
2.7500E+02,5.2598E+00,-2.8679E+00
2.7700E+02,5.5613E+00,-2.5486E+00
2.7900E+02,5.8350E+00,-2.1499E+00
2.8100E+02,6.0551E+00,-1.6938E+00
2.8300E+02,6.2674E+00,-1.2852E+00
2.8500E+02,6.4657E+00,-8.6612E-01
2.8700E+02,6.6105E+00,-3.7465E-01
2.8900E+02,6.6839E+00,1.0805E-01
2.9100E+02,6.8048E+00,6.6164E-01
2.9300E+02,6.8881E+00,1.1860E+00
2.9500E+02,6.8405E+00,1.6839E+00
2.9700E+02,6.7910E+00,2.2451E+00
2.9900E+02,6.6759E+00,2.8025E+00
3.0100E+02,6.5331E+00,3.3102E+00
3.0300E+02,6.3705E+00,3.8953E+00
3.0500E+02,6.2019E+00,4.4288E+00
3.0700E+02,5.9441E+00,4.9821E+00
3.0900E+02,5.6129E+00,5.5474E+00
3.1100E+02,5.2995E+00,6.0234E+00
3.1300E+02,4.9127E+00,6.4716E+00
3.1400E+02,4.5081E+00,6.9119E+00
3.1600E+02,4.0401E+00,7.2551E+00
3.1800E+02,3.4431E+00,7.6795E+00
3.2000E+02,2.8481E+00,8.2765E+00
3.2200E+02,2.2789E+00,8.6275E+00
3.2400E+02,1.7037E+00,8.8933E+00
3.2600E+02,1.0563E+00,9.1650E+00
3.2800E+02,5.3074E-01,9.3792E+00
3.3000E+02,-1.8647E-01,9.7759E+00
3.3200E+02,-1.0363E+00,9.8790E+00
3.3400E+02,-1.7156E+00,9.9048E+00
3.3600E+02,-2.2848E+00,9.9762E+00
3.3800E+02,-3.1158E+00,9.9107E+00
3.4000E+02,-4.0242E+00,9.9008E+00
3.4200E+02,-4.6668E+00,9.9207E+00
3.4400E+02,-5.4225E+00,9.7838E+00
3.4600E+02,-6.1761E+00,9.6053E+00
3.4800E+02,-6.9338E+00,9.3971E+00
3.5000E+02,-7.7390E+00,9.0381E+00
3.5200E+02,-8.4847E+00,8.6374E+00
3.5400E+02,-9.1333E+00,8.2051E+00
3.5500E+02,-9.7402E+00,7.7787E+00
3.5700E+02,-1.0472E+01,7.4157E+00
3.5900E+02,-1.1365E+01,6.7810E+00
3.6100E+02,-1.1781E+01,6.2198E+00
3.6300E+02,-1.2158E+01,5.6228E+00
3.6500E+02,-1.2812E+01,4.8056E+00
3.6700E+02,-1.3368E+01,3.9786E+00
3.6900E+02,-1.3685E+01,3.3142E+00
3.7100E+02,-1.3963E+01,2.5704E+00
3.7300E+02,-1.4419E+01,1.8683E+00
3.7500E+02,-1.4716E+01,1.0119E+00
3.7700E+02,-1.5054E+01,-1.1462E-01
3.7900E+02,-1.5311E+01,-1.0214E+00
3.8100E+02,-1.5589E+01,-1.9417E+00
3.8300E+02,-1.5569E+01,-2.9393E+00
3.8500E+02,-1.5192E+01,-4.1115E+00
3.8700E+02,-1.5153E+01,-5.0714E+00
3.8900E+02,-1.5391E+01,-5.7537E+00
3.9100E+02,-1.5351E+01,-6.6105E+00
3.9300E+02,-1.4855E+01,-7.6418E+00
3.9500E+02,-1.4558E+01,-8.9389E+00
3.9600E+02,-1.4102E+01,-1.0018E+01
3.9800E+02,-1.3526E+01,-1.0869E+01
4.0000E+02,-1.3031E+01,-1.1801E+01
4.0200E+02,-1.2614E+01,-1.2535E+01
4.0400E+02,-1.2039E+01,-1.3447E+01
4.0600E+02,-1.1583E+01,-1.4359E+01
4.0800E+02,-1.0849E+01,-1.4855E+01
4.1000E+02,-1.0063E+01,-1.5847E+01
4.1200E+02,-9.5736E+00,-1.6323E+01
4.1400E+02,-8.7227E+00,-1.7275E+01
4.1600E+02,-7.8005E+00,-1.7870E+01
4.1800E+02,-7.0746E+00,-1.8624E+01
4.2000E+02,-6.0135E+00,-1.9199E+01
4.2200E+02,-5.2003E+00,-1.9417E+01
4.2400E+02,-4.1551E+00,-1.9734E+01
4.2600E+02,-3.2150E+00,-2.0409E+01
4.2800E+02,-2.4593E+00,-2.0567E+01
4.3000E+02,-1.4201E+00,-2.0726E+01
4.3200E+02,-2.4831E-01,-2.0904E+01
4.3400E+02,5.9225E-01,-2.1043E+01
4.3600E+02,1.5748E+00,-2.1162E+01
4.3800E+02,2.8798E+00,-2.0885E+01
4.3900E+02,4.0282E+00,-2.0389E+01
4.4100E+02,4.8274E+00,-2.0785E+01
4.4300E+02,5.8350E+00,-2.0230E+01
4.4500E+02,6.7255E+00,-1.9576E+01
4.4700E+02,7.1936E+00,-1.9080E+01
4.4900E+02,8.0583E+00,-1.9417E+01
4.5100E+02,9.0797E+00,-1.8961E+01
4.5300E+02,9.7917E+00,-1.8425E+01
4.5500E+02,1.0750E+01,-1.7810E+01
4.5700E+02,1.1841E+01,-1.7295E+01
4.5900E+02,1.2793E+01,-1.6482E+01
4.6100E+02,1.3288E+01,-1.5946E+01
4.6300E+02,1.4022E+01,-1.5787E+01
4.6500E+02,1.4875E+01,-1.4776E+01
4.6700E+02,1.5470E+01,-1.4002E+01
4.6900E+02,1.5748E+01,-1.3169E+01
4.7100E+02,1.6144E+01,-1.2079E+01
4.7300E+02,1.6720E+01,-1.1464E+01
4.7500E+02,1.7354E+01,-1.0889E+01
4.7700E+02,1.7850E+01,-9.9544E+00
4.7900E+02,1.7850E+01,-9.0381E+00
4.8000E+02,1.8108E+01,-7.4950E+00
4.8200E+02,1.8306E+01,-7.0528E+00
4.8400E+02,1.8881E+01,-6.5906E+00
4.8600E+02,1.8743E+01,-5.7656E+00
4.8800E+02,1.8743E+01,-4.6965E+00
4.9000E+02,1.8921E+01,-3.6573E+00
4.9200E+02,1.9179E+01,-2.8044E+00
4.9400E+02,1.9318E+01,-2.3086E+00
4.9600E+02,1.9576E+01,-1.7751E+00
4.9800E+02,1.9417E+01,-8.2527E-01
5.0000E+02,1.9139E+01,2.4058E-01
