Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9226E-01,1.2456E-01
3.9100E+00,9.4990E-01,2.5609E-01
5.8600E+00,8.9497E-01,3.6306E-01
7.8100E+00,8.4468E-01,4.5706E-01
9.7700E+00,7.7969E-01,5.4990E-01
1.1700E+01,7.0890E-01,6.4217E-01
1.3700E+01,6.2282E-01,7.2379E-01
1.5600E+01,5.2573E-01,8.0251E-01
1.7600E+01,4.2476E-01,8.7331E-01
1.9500E+01,3.0812E-01,9.3424E-01
2.1500E+01,1.8162E-01,9.8453E-01
2.3400E+01,5.4062E-02,1.0251E+00
2.5400E+01,-7.8839E-02,1.0600E+00
2.7300E+01,-2.2147E-01,1.0793E+00
2.9300E+01,-3.5919E-01,1.0832E+00
3.1300E+01,-5.0213E-01,1.0812E+00
3.3200E+01,-6.4352E-01,1.0677E+00
3.5200E+01,-7.8104E-01,1.0368E+00
3.7100E+01,-9.1470E-01,9.9613E-01
3.9100E+01,-1.0445E+00,9.4468E-01
4.1000E+01,-1.1702E+00,8.7737E-01
4.3000E+01,-1.2805E+00,7.9749E-01
4.4900E+01,-1.3926E+00,7.1103E-01
4.6900E+01,-1.4836E+00,6.1006E-01
4.8800E+01,-1.5648E+00,5.0658E-01
5.0800E+01,-1.6383E+00,3.8917E-01
5.2700E+01,-1.6925E+00,2.6441E-01
5.4700E+01,-1.7369E+00,1.3540E-01
5.6600E+01,-1.7621E+00,3.6654E-04
5.8600E+01,-1.7756E+00,-1.4062E-01
6.0500E+01,-1.7737E+00,-2.7776E-01
6.2500E+01,-1.7524E+00,-4.2476E-01
6.4500E+01,-1.7157E+00,-5.6770E-01
6.6400E+01,-1.6634E+00,-7.1006E-01
6.8400E+01,-1.5919E+00,-8.4778E-01
7.0300E+01,-1.5029E+00,-9.8646E-01
7.2300E+01,-1.4043E+00,-1.1122E+00
7.4200E+01,-1.2901E+00,-1.2398E+00
7.6200E+01,-1.1586E+00,-1.3559E+00
7.8100E+01,-1.0155E+00,-1.4603E+00
8.0100E+01,-8.6035E-01,-1.5571E+00
8.2000E+01,-6.9691E-01,-1.6383E+00
8.4000E+01,-5.2282E-01,-1.7118E+00
8.5900E+01,-3.3888E-01,-1.7640E+00
8.7900E+01,-1.4487E-01,-1.8085E+00
8.9800E+01,4.8762E-02,-1.8337E+00
9.1800E+01,2.4507E-01,-1.8491E+00
9.3800E+01,4.4739E-01,-1.8453E+00
9.5700E+01,6.5029E-01,-1.8201E+00
9.7700E+01,8.4449E-01,-1.7834E+00
9.9600E+01,1.0484E+00,-1.7331E+00
1.0200E+02,1.2340E+00,-1.6634E+00
1.0400E+02,1.4159E+00,-1.5687E+00
1.0500E+02,1.5996E+00,-1.4642E+00
1.0700E+02,1.7621E+00,-1.3462E+00
1.0900E+02,1.9130E+00,-1.2070E+00
1.1100E+02,2.0600E+00,-1.0561E+00
1.1300E+02,2.1818E+00,-8.9884E-01
1.1500E+02,2.2959E+00,-7.2263E-01
1.1700E+02,2.3888E+00,-5.3520E-01
1.1900E+02,2.4584E+00,-3.4062E-01
1.2100E+02,2.5126E+00,-1.2805E-01
1.2300E+02,2.5455E+00,7.4584E-02
1.2500E+02,2.5474E+00,2.8607E-01
1.2700E+02,2.5416E+00,5.0967E-01
1.2900E+02,2.5164E+00,7.3578E-01
1.3100E+02,2.4603E+00,9.4874E-01
1.3300E+02,2.3791E+00,1.1644E+00
1.3500E+02,2.2785E+00,1.3772E+00
1.3700E+02,2.1605E+00,1.5841E+00
1.3900E+02,2.0174E+00,1.7795E+00
1.4100E+02,1.8453E+00,1.9691E+00
1.4300E+02,1.6673E+00,2.1451E+00
1.4500E+02,1.4700E+00,2.3075E+00
1.4600E+02,1.2495E+00,2.4584E+00
1.4800E+02,1.0213E+00,2.5899E+00
1.5000E+02,7.6557E-01,2.7060E+00
1.5200E+02,5.1296E-01,2.7950E+00
1.5400E+02,2.3153E-01,2.8685E+00
1.5600E+02,-4.1702E-02,2.9130E+00
1.5800E+02,-3.3037E-01,2.9381E+00
1.6000E+02,-6.1954E-01,2.9439E+00
1.6200E+02,-9.1702E-01,2.9265E+00
1.6400E+02,-1.2031E+00,2.8762E+00
1.6600E+02,-1.4855E+00,2.8162E+00
1.6800E+02,-1.7698E+00,2.7195E+00
1.7000E+02,-2.0561E+00,2.6015E+00
1.7200E+02,-2.3172E+00,2.4565E+00
1.7400E+02,-2.5745E+00,2.2843E+00
1.7600E+02,-2.8162E+00,2.0948E+00
1.7800E+02,-3.0271E+00,1.8723E+00
1.8000E+02,-3.2476E+00,1.6383E+00
1.8200E+02,-3.4294E+00,1.3752E+00
1.8400E+02,-3.5938E+00,1.1044E+00
1.8600E+02,-3.7427E+00,8.1219E-01
1.8800E+02,-3.8395E+00,5.2031E-01
1.8900E+02,-3.9304E+00,1.8549E-01
1.9100E+02,-3.9865E+00,-1.4275E-01
1.9300E+02,-4.0000E+00,-4.7776E-01
1.9500E+02,-4.0097E+00,-8.1586E-01
1.9700E+02,-3.9594E+00,-1.1702E+00
1.9900E+02,-3.8704E+00,-1.5106E+00
2.0100E+02,-3.7563E+00,-1.8395E+00
2.0300E+02,-3.6093E+00,-2.1934E+00
2.0500E+02,-3.4352E+00,-2.5145E+00
2.0700E+02,-3.2379E+00,-2.8337E+00
2.0900E+02,-3.0135E+00,-3.1238E+00
2.1100E+02,-2.7524E+00,-3.4120E+00
2.1300E+02,-2.4584E+00,-3.6925E+00
2.1500E+02,-2.1393E+00,-3.9246E+00
2.1700E+02,-1.7892E+00,-4.1451E+00
2.1900E+02,-1.4236E+00,-4.3636E+00
2.2100E+02,-1.0348E+00,-4.5087E+00
2.2300E+02,-5.9865E-01,-4.6267E+00
2.2500E+02,-1.8685E-01,-4.7447E+00
2.2700E+02,2.7176E-01,-4.7930E+00
2.2900E+02,6.6576E-01,-4.8569E+00
2.3000E+02,1.1412E+00,-4.8511E+00
2.3200E+02,1.6093E+00,-4.7930E+00
2.3400E+02,2.0677E+00,-4.7157E+00
2.3600E+02,2.5222E+00,-4.6035E+00
2.3800E+02,2.9671E+00,-4.4487E+00
2.4000E+02,3.4023E+00,-4.2321E+00
2.4200E+02,3.8298E+00,-4.0155E+00
2.4400E+02,4.2205E+00,-3.7195E+00
2.4600E+02,4.6209E+00,-3.4487E+00
2.4800E+02,4.9787E+00,-3.0986E+00
2.5000E+02,5.3153E+00,-2.6789E+00
2.5200E+02,5.5977E+00,-2.2863E+00
2.5400E+02,5.8549E+00,-1.8433E+00
2.5600E+02,6.1025E+00,-1.3733E+00
2.5800E+02,6.2805E+00,-8.7157E-01
2.6000E+02,6.4526E+00,-3.4449E-01
2.6200E+02,6.5397E+00,1.9923E-01
2.6400E+02,6.5745E+00,7.5010E-01
2.6600E+02,6.5938E+00,1.3153E+00
2.6800E+02,6.5571E+00,1.8975E+00
2.7000E+02,6.4778E+00,2.4526E+00
2.7100E+02,6.3056E+00,3.0290E+00
2.7300E+02,6.1103E+00,3.6112E+00
2.7500E+02,5.8569E+00,4.1857E+00
2.7700E+02,5.5977E+00,4.7485E+00
2.7900E+02,5.2398E+00,5.3037E+00
2.8100E+02,4.8221E+00,5.7930E+00
2.8300E+02,4.3965E+00,6.2805E+00
2.8500E+02,3.9342E+00,6.7447E+00
2.8700E+02,3.3656E+00,7.1625E+00
2.8900E+02,2.8008E+00,7.5319E+00
2.9100E+02,2.1199E+00,7.9207E+00
2.9300E+02,1.4681E+00,8.2437E+00
2.9500E+02,7.9207E-01,8.4758E+00
2.9700E+02,5.6963E-02,8.6847E+00
2.9900E+02,-6.7215E-01,8.7795E+00
3.0100E+02,-1.4004E+00,8.8897E+00
3.0300E+02,-2.2128E+00,8.9439E+00
3.0500E+02,-3.0155E+00,8.9072E+00
3.0700E+02,-3.8298E+00,8.8046E+00
3.0900E+02,-4.6267E+00,8.6499E+00
3.1100E+02,-5.4410E+00,8.4236E+00
3.1300E+02,-6.1683E+00,8.1335E+00
3.1400E+02,-6.9536E+00,7.7331E+00
3.1600E+02,-7.7041E+00,7.3462E+00
3.1800E+02,-8.3907E+00,6.8356E+00
3.2000E+02,-9.1412E+00,6.2321E+00
3.2200E+02,-9.7485E+00,5.6286E+00
3.2400E+02,-1.0309E+01,4.9536E+00
3.2600E+02,-1.0870E+01,4.1818E+00
3.2800E+02,-1.1335E+01,3.4081E+00
3.3000E+02,-1.1915E+01,2.4971E+00
3.3200E+02,-1.2186E+01,1.6480E+00
3.3400E+02,-1.2456E+01,7.1857E-01
3.3600E+02,-1.2727E+01,-2.0781E-01
3.3800E+02,-1.2882E+01,-1.2244E+00
3.4000E+02,-1.2901E+01,-2.2418E+00
3.4200E+02,-1.2998E+01,-3.2882E+00
3.4400E+02,-1.2901E+01,-4.4352E+00
3.4600E+02,-1.2727E+01,-5.5861E+00
3.4800E+02,-1.2456E+01,-6.6557E+00
3.5000E+02,-1.2050E+01,-7.6673E+00
3.5200E+02,-1.1605E+01,-8.6789E+00
3.5400E+02,-1.1141E+01,-9.6615E+00
3.5500E+02,-1.0561E+01,-1.0793E+01
3.5700E+02,-9.8453E+00,-1.1779E+01
3.5900E+02,-9.0445E+00,-1.2766E+01
3.6100E+02,-8.2282E+00,-1.3656E+01
3.6300E+02,-7.2940E+00,-1.4507E+01
3.6500E+02,-6.2766E+00,-1.5242E+01
3.6700E+02,-5.1915E+00,-1.5977E+01
3.6900E+02,-3.9865E+00,-1.6750E+01
3.7100E+02,-2.7737E+00,-1.7331E+01
3.7300E+02,-1.4952E+00,-1.7756E+01
3.7500E+02,-2.0293E-01,-1.8221E+01
3.7700E+02,1.1246E+00,-1.8530E+01
3.7900E+02,2.5648E+00,-1.8646E+01
3.8100E+02,3.9787E+00,-1.8859E+01
3.8300E+02,5.4081E+00,-1.8994E+01
3.8500E+02,6.6325E+00,-1.8839E+01
3.8700E+02,8.2263E+00,-1.8762E+01
3.8900E+02,9.9516E+00,-1.8511E+01
3.9100E+02,1.1489E+01,-1.8085E+01
3.9300E+02,1.2727E+01,-1.7447E+01
3.9500E+02,1.4101E+01,-1.6750E+01
3.9600E+02,1.5435E+01,-1.6112E+01
3.9800E+02,1.6538E+01,-1.5571E+01
4.0000E+02,1.7795E+01,-1.4797E+01
4.0200E+02,1.9246E+01,-1.3578E+01
4.0400E+02,2.0213E+01,-1.2534E+01
4.0600E+02,2.1431E+01,-1.1064E+01
4.0800E+02,2.2495E+01,-9.5996E+00
4.1000E+02,2.3230E+01,-8.1992E+00
4.1200E+02,2.4159E+01,-6.7621E+00
4.1400E+02,2.4642E+01,-5.1818E+00
4.1600E+02,2.5203E+01,-3.6228E+00
4.1800E+02,2.5667E+01,-1.9188E+00
4.2000E+02,2.5899E+01,-4.4880E-01
4.2200E+02,2.6267E+01,1.3863E+00
4.2400E+02,2.6422E+01,2.9536E+00
4.2600E+02,2.6054E+01,4.7118E+00
4.2800E+02,2.5880E+01,6.6770E+00
4.3000E+02,2.5609E+01,8.3288E+00
4.3200E+02,2.4971E+01,9.8936E+00
