Freq (Hz),Real,Imaginary
2.4800E+02,-3.9493E+00,-2.1520E+00
2.5000E+02,-3.8343E+00,-2.4503E+00
2.5200E+02,-3.6725E+00,-2.7173E+00
2.5400E+02,-3.4815E+00,-2.9883E+00
2.5600E+02,-3.2963E+00,-3.2554E+00
2.5800E+02,-3.0994E+00,-3.5185E+00
2.6000E+02,-2.8908E+00,-3.7797E+00
2.6200E+02,-2.5945E+00,-4.0136E+00
2.6400E+02,-2.3177E+00,-4.2632E+00
2.6600E+02,-2.0468E+00,-4.4815E+00
2.6800E+02,-1.6784E+00,-4.6940E+00
2.7000E+02,-1.3528E+00,-4.8791E+00
2.7100E+02,-9.7973E-01,-4.9825E+00
2.7300E+02,-6.0663E-01,-5.1248E+00
2.7500E+02,-2.5750E-01,-5.2495E+00
2.7700E+02,1.2014E-01,-5.2943E+00
2.7900E+02,5.5595E-01,-5.3626E+00
2.8100E+02,9.8324E-01,-5.4425E+00
2.8300E+02,1.4288E+00,-5.4620E+00
2.8500E+02,1.8538E+00,-5.4483E+00
2.8700E+02,2.2105E+00,-5.4055E+00
2.8900E+02,2.5809E+00,-5.3470E+00
2.9100E+02,3.0351E+00,-5.2943E+00
2.9300E+02,3.4503E+00,-5.1657E+00
2.9500E+02,3.8830E+00,-5.0156E+00
2.9700E+02,4.3255E+00,-4.8752E+00
2.9900E+02,4.7505E+00,-4.6374E+00
3.0100E+02,5.0799E+00,-4.3606E+00
3.0300E+02,5.3743E+00,-4.1442E+00
3.0500E+02,5.8207E+00,-3.8285E+00
3.0700E+02,6.2632E+00,-3.5185E+00
3.0900E+02,6.5283E+00,-3.1891E+00
3.1100E+02,6.7739E+00,-2.8635E+00
3.1300E+02,7.0955E+00,-2.4386E+00
3.1400E+02,7.3080E+00,-1.9786E+00
3.1600E+02,7.5244E+00,-1.5029E+00
3.1800E+02,7.7797E+00,-1.0768E+00
3.2000E+02,7.9357E+00,-5.9435E-01
3.2200E+02,8.0682E+00,-6.1326E-02
3.2400E+02,8.1540E+00,5.3138E-01
3.2600E+02,8.1988E+00,1.0335E+00
3.2800E+02,8.2359E+00,1.5458E+00
3.3000E+02,8.2573E+00,2.1033E+00
3.3200E+02,8.2963E+00,2.6218E+00
3.3400E+02,8.1930E+00,3.1832E+00
3.3600E+02,7.9786E+00,3.7505E+00
3.3800E+02,7.8109E+00,4.3119E+00
3.4000E+02,7.5750E+00,4.8265E+00
3.4200E+02,7.3411E+00,5.3060E+00
3.4400E+02,7.1774E+00,5.9415E+00
3.4600E+02,6.8967E+00,6.4483E+00
3.4800E+02,6.4659E+00,7.1014E+00
3.5000E+02,6.2300E+00,7.6530E+00
3.5200E+02,5.7719E+00,8.1657E+00
3.5400E+02,5.0916E+00,8.5984E+00
3.5500E+02,4.5731E+00,8.9981E+00
3.5700E+02,4.1306E+00,9.5926E+00
3.5900E+02,3.7096E+00,1.0000E+01
3.6100E+02,3.0273E+00,1.0409E+01
3.6300E+02,2.4152E+00,1.0760E+01
3.6500E+02,1.9727E+00,1.0955E+01
3.6700E+02,1.1678E+00,1.1306E+01
3.6900E+02,1.9417E-01,1.1676E+01
3.7100E+02,-4.0591E-01,1.1871E+01
3.7300E+02,-9.6082E-01,1.2047E+01
3.7500E+02,-1.7212E+00,1.2183E+01
3.7700E+02,-2.4776E+00,1.2300E+01
3.7900E+02,-3.2495E+00,1.2378E+01
3.8100E+02,-3.8402E+00,1.2476E+01
3.8300E+02,-4.7154E+00,1.2456E+01
3.8500E+02,-5.7934E+00,1.2066E+01
3.8700E+02,-6.5712E+00,1.1774E+01
3.8900E+02,-6.9708E+00,1.1715E+01
3.9100E+02,-7.4873E+00,1.1676E+01
3.9300E+02,-8.4542E+00,1.1423E+01
3.9500E+02,-9.0565E+00,1.1131E+01
3.9600E+02,-9.6569E+00,1.0838E+01
3.9800E+02,-1.0540E+01,1.0039E+01
4.0000E+02,-1.1131E+01,9.4581E+00
4.0200E+02,-1.1676E+01,9.2729E+00
4.0400E+02,-1.2476E+01,9.1033E+00
4.0600E+02,-1.2807E+01,8.3665E+00
4.0800E+02,-1.3372E+01,7.8538E+00
4.1000E+02,-1.3704E+01,7.4172E+00
4.1200E+02,-1.3996E+01,6.6452E+00
4.1400E+02,-1.4483E+01,5.4971E+00
4.1600E+02,-1.4678E+01,4.9240E+00
4.1800E+02,-1.5205E+01,4.4347E+00
4.2000E+02,-1.5536E+01,3.3509E+00
4.2200E+02,-1.5867E+01,2.8246E+00
4.2400E+02,-1.5789E+01,2.4269E+00
4.2600E+02,-1.5770E+01,1.3088E+00
4.2800E+02,-1.5185E+01,3.9262E-01
4.3000E+02,-1.4815E+01,7.2203E-02
4.3200E+02,-1.5088E+01,-6.1326E-01
4.3400E+02,-1.5458E+01,-1.5205E+00
4.3600E+02,-1.4893E+01,-1.8688E+00
4.3800E+02,-1.4581E+01,-2.7086E+00
4.3900E+02,-1.4191E+01,-3.6823E+00
4.4100E+02,-1.3957E+01,-5.1637E+00
4.4300E+02,-1.3294E+01,-5.3411E+00
4.4500E+02,-1.3314E+01,-5.6530E+00
4.4700E+02,-1.2047E+01,-6.2885E+00
4.4900E+02,-1.1852E+01,-5.8947E+00
4.5100E+02,-1.1501E+01,-5.9532E+00
4.5300E+02,-1.0760E+01,-6.3548E+00
4.5500E+02,-9.9357E+00,-7.0409E+00
4.5700E+02,-9.3762E+00,-7.9532E+00
4.5900E+02,-8.7797E+00,-7.7914E+00
4.6100E+02,-8.4854E+00,-8.1189E+00
4.6300E+02,-7.2261E+00,-7.9961E+00
4.6500E+02,-6.4698E+00,-7.7680E+00
4.6700E+02,-5.8148E+00,-7.8363E+00
4.6900E+02,-5.1481E+00,-7.9708E+00
4.7100E+02,-4.1384E+00,-7.4600E+00
4.7300E+02,-3.4776E+00,-6.7271E+00
4.7500E+02,-3.2125E+00,-5.6082E+00
4.7700E+02,-2.6374E+00,-5.4074E+00
4.7900E+02,-1.7865E+00,-6.1423E+00
4.8000E+02,-9.7583E-01,-5.8538E+00
4.8200E+02,-1.1869E+00,-4.9883E+00
4.8400E+02,-2.6374E+00,-4.6062E+00
4.8600E+02,-2.4569E+00,-4.0019E+00
4.8800E+02,-1.6737E+00,-2.2191E+00
4.9000E+02,1.2749E-01,-1.7973E+00
4.9200E+02,6.2827E-01,-1.5114E+00
4.9400E+02,3.3528E-01,-1.0981E+00
4.9600E+02,1.4405E-01,-1.1587E+00
4.9800E+02,7.2827E-02,-4.8558E-01
5.0000E+02,-1.1411E+00,-3.5867E-02
