Freq (Hz),Real,Imaginary
2.4800E+02,-7.4902E+00,6.4706E+00
2.5000E+02,-8.2549E+00,5.7451E+00
2.5200E+02,-9.0196E+00,4.9608E+00
2.5400E+02,-9.6176E+00,4.0392E+00
2.5600E+02,-1.0294E+01,3.0490E+00
2.5800E+02,-1.0686E+01,1.9020E+00
2.6000E+02,-1.1078E+01,9.8039E-01
2.6200E+02,-1.1275E+01,-2.2745E-01
2.6400E+02,-1.1471E+01,-1.5000E+00
2.6600E+02,-1.1373E+01,-2.7843E+00
2.6800E+02,-1.1275E+01,-3.9804E+00
2.7000E+02,-1.1176E+01,-5.3431E+00
2.7100E+02,-1.0588E+01,-6.5196E+00
2.7300E+02,-1.0000E+01,-7.6176E+00
2.7500E+02,-9.3529E+00,-9.1176E+00
2.7700E+02,-8.4706E+00,-1.0294E+01
2.7900E+02,-7.4412E+00,-1.1275E+01
2.8100E+02,-6.4216E+00,-1.2255E+01
2.8300E+02,-5.1961E+00,-1.3137E+01
2.8500E+02,-4.0000E+00,-1.3922E+01
2.8700E+02,-2.6373E+00,-1.4314E+01
2.8900E+02,-9.9020E-01,-1.4902E+01
2.9100E+02,5.5588E-01,-1.5294E+01
2.9300E+02,2.3235E+00,-1.5588E+01
2.9500E+02,3.9902E+00,-1.5588E+01
2.9700E+02,5.4510E+00,-1.5392E+01
2.9900E+02,7.2059E+00,-1.5098E+01
3.0100E+02,9.0882E+00,-1.4510E+01
3.0300E+02,1.0686E+01,-1.4020E+01
3.0500E+02,1.2255E+01,-1.3333E+01
3.0700E+02,1.3922E+01,-1.2353E+01
3.0900E+02,1.5196E+01,-1.1078E+01
3.1100E+02,1.6667E+01,-9.3824E+00
3.1300E+02,1.7843E+01,-8.1569E+00
3.1400E+02,1.8824E+01,-6.6176E+00
3.1600E+02,2.0098E+01,-4.8333E+00
3.1800E+02,2.0980E+01,-2.7353E+00
3.2000E+02,2.1275E+01,-8.6176E-01
3.2200E+02,2.1863E+01,1.3529E+00
3.2400E+02,2.2059E+01,3.5784E+00
3.2600E+02,2.1863E+01,5.6275E+00
3.2800E+02,2.1373E+01,8.0392E+00
3.3000E+02,2.0882E+01,1.0000E+01
3.3200E+02,2.0784E+01,1.2059E+01
3.3400E+02,2.0196E+01,1.4804E+01
3.3600E+02,1.9020E+01,1.7353E+01
3.3800E+02,1.7941E+01,1.9706E+01
3.4000E+02,1.6373E+01,2.0490E+01
3.4200E+02,1.4118E+01,2.2843E+01
3.4400E+02,1.2353E+01,2.4608E+01
3.4600E+02,1.0098E+01,2.6275E+01
3.4800E+02,8.3431E+00,2.7353E+01
3.5000E+02,5.5686E+00,2.8824E+01
3.5200E+02,3.1569E+00,3.0196E+01
3.5400E+02,4.6275E-01,3.0882E+01
3.5500E+02,-1.9020E+00,3.1471E+01
3.5700E+02,-4.9804E+00,3.1667E+01
3.5900E+02,-7.3431E+00,3.1176E+01
3.6100E+02,-1.0000E+01,3.0882E+01
3.6300E+02,-1.3235E+01,3.1765E+01
3.6500E+02,-1.5686E+01,3.0784E+01
3.6700E+02,-1.8431E+01,2.9314E+01
3.6900E+02,-2.2157E+01,2.8431E+01
3.7100E+02,-2.4804E+01,2.7059E+01
3.7300E+02,-2.7157E+01,2.4902E+01
3.7500E+02,-2.8627E+01,2.2549E+01
3.7700E+02,-3.0784E+01,2.0392E+01
3.7900E+02,-3.2451E+01,1.7745E+01
3.8100E+02,-3.2941E+01,1.4412E+01
3.8300E+02,-3.5588E+01,1.1078E+01
3.8500E+02,-3.7549E+01,9.9020E+00
3.8700E+02,-3.7255E+01,6.5784E+00
3.8900E+02,-3.8137E+01,2.8725E+00
3.9100E+02,-3.8824E+01,-5.6176E-01
3.9300E+02,-3.8431E+01,-3.4118E+00
3.9500E+02,-3.8431E+01,-6.5588E+00
3.9600E+02,-3.7843E+01,-9.0000E+00
3.9800E+02,-3.6961E+01,-1.3529E+01
4.0000E+02,-3.5882E+01,-1.6176E+01
4.0200E+02,-3.3137E+01,-2.0196E+01
4.0400E+02,-3.2549E+01,-2.1471E+01
4.0600E+02,-3.1078E+01,-2.4804E+01
4.0800E+02,-2.9314E+01,-2.6667E+01
4.1000E+02,-2.6275E+01,-2.7745E+01
4.1200E+02,-2.4706E+01,-2.9216E+01
4.1400E+02,-2.1765E+01,-3.3039E+01
4.1600E+02,-1.6667E+01,-3.4804E+01
4.1800E+02,-1.4118E+01,-3.4706E+01
4.2000E+02,-1.0490E+01,-3.6961E+01
4.2200E+02,-7.2157E+00,-3.6863E+01
4.2400E+02,-3.0098E+00,-3.6961E+01
4.2600E+02,-5.3725E-01,-3.4902E+01
4.2800E+02,3.0490E+00,-3.4804E+01
4.3000E+02,5.9020E+00,-3.2647E+01
4.3200E+02,9.3725E+00,-3.2157E+01
4.3400E+02,1.2549E+01,-3.0686E+01
4.3600E+02,1.3431E+01,-2.8725E+01
4.3800E+02,1.4706E+01,-2.6961E+01
4.3900E+02,1.6765E+01,-2.6765E+01
4.4100E+02,2.0882E+01,-2.2843E+01
4.4300E+02,2.2255E+01,-2.0098E+01
4.4500E+02,2.3039E+01,-2.0882E+01
4.4700E+02,2.5784E+01,-1.5784E+01
4.4900E+02,2.4020E+01,-1.0882E+01
4.5100E+02,2.5686E+01,-6.0882E+00
4.5300E+02,2.6176E+01,-3.7941E+00
4.5500E+02,2.5392E+01,-2.2843E+00
4.5700E+02,2.6078E+01,-1.2647E+00
4.5900E+02,2.1667E+01,-1.2157E+00
4.6100E+02,2.1667E+01,6.0196E+00
4.6300E+02,1.9020E+01,1.0686E+01
4.6500E+02,2.1275E+01,1.0196E+01
4.6700E+02,2.2157E+01,1.1275E+01
4.6900E+02,1.7843E+01,1.2059E+01
4.7100E+02,1.5784E+01,1.2745E+01
4.7300E+02,1.1569E+01,1.2843E+01
4.7500E+02,7.4902E+00,1.3235E+01
4.7700E+02,6.3824E+00,1.0196E+01
4.7900E+02,7.1765E+00,1.0980E+01
4.8000E+02,-3.2255E-01,1.1765E+01
4.8200E+02,-5.8333E+00,1.4118E+01
4.8400E+02,-5.5392E-01,1.3529E+01
4.8600E+02,9.5196E-02,1.2157E+01
4.8800E+02,6.4608E-01,8.5196E+00
4.9000E+02,-4.5980E+00,8.2941E+00
4.9200E+02,-7.2255E+00,6.5196E+00
4.9400E+02,-6.9314E+00,2.8725E+00
4.9600E+02,-7.5784E+00,-1.4706E+00
4.9800E+02,-8.3627E+00,-4.3039E+00
5.0000E+02,-5.7353E+00,-1.8039E-01
