N,m, 1.92403E-001, 8.60010E-002, 4.71685E-002, 3.71781E-002, 2.33707E-002, 3.35758E-002,4096
N,m,-1.98365E-001, 2.70030E-002, 3.81455E-002, 6.71521E-002, 2.92741E-002, 3.81853E-002,4096
N,m,-2.30292E-001, 5.35439E-002, 1.24297E-002, 4.75758E-002, 2.56360E-002, 2.38289E-002,4096
N,m,-1.99236E-001, 4.04097E-002, 3.85559E-002, 1.77903E-002, 2.58258E-002, 3.33483E-002,4096
N,m,-1.38758E-001, 2.08288E-002, 3.87030E-002, 8.01830E-003, 2.66422E-002, 3.32666E-002,4096
N,m,-1.76821E-002, 4.04031E-002, 3.99939E-003, 4.80303E-002, 2.59689E-002, 3.81734E-002,4096
N,m,-1.69435E-001, 5.97840E-002, 3.11855E-003, 8.73140E-002, 2.82362E-002, 2.86844E-002,4096
N,m,-2.30716E-001, 2.71010E-002, 2.05443E-002, 8.67946E-002, 3.03864E-002, 1.42163E-002,4096
N,m,-2.30402E-001, 2.71479E-002, 6.44141E-002, 4.65527E-002, 2.80035E-002, 1.90176E-002,4096
N,m,-1.07958E-001, 4.64853E-002, 4.60333E-002, 3.78308E-002, 3.01367E-002, 4.29398E-002,4096
N,m, 4.21602E-002, 1.42534E-002, 3.86072E-002,-1.69125E-003, 2.74461E-002, 3.32173E-002,4096
N,m,-1.68199E-001, 2.05751E-002, 3.33085E-003, 6.79389E-002, 3.00866E-002, 3.81012E-002,4096
N,m,-1.39127E-001, 3.36692E-002, 3.11535E-003, 6.77983E-002, 2.98582E-002, 2.85450E-002,4096
N,m,-4.75199E-002, 2.69169E-002, 6.44613E-002, 6.65541E-002, 2.84641E-002, 3.82490E-002,4096
N,m,-7.66941E-002, 4.67145E-002, 2.98188E-002, 4.77819E-002, 2.62938E-002, 5.26040E-002,4096
N,m, 1.04380E-001, 4.67861E-002, 4.14799E-003, 6.78690E-002, 2.55019E-002, 5.26394E-002,4096
N,m, 7.28368E-002, 5.35831E-002,-3.03721E-002, 7.80438E-002, 2.43649E-002, 3.82615E-002,4096
N,m,-1.08285E-001, 3.40512E-002, 2.24693E-002, 5.70155E-002, 2.26289E-002, 3.34815E-002,4096
N,m,-2.28125E-001, 3.32846E-002, 5.49346E-002, 7.68596E-002, 3.10229E-002, 4.30137E-002,4096
N,m, 1.23937E-002, 5.99980E-002, 2.16983E-002, 5.72951E-002, 2.35272E-002, 3.83182E-002,4096
N,m,-1.75204E-002, 2.72858E-002, 1.27277E-002, 4.78871E-002, 2.67963E-002, 3.81441E-002,4096
N,m,-1.38731E-001, 5.33525E-002,-1.38989E-002, 8.76729E-002, 2.75324E-002, 3.34523E-002,4096
N,m,-1.40132E-001, 4.06411E-002,-1.32957E-002, 4.79958E-002, 2.55332E-002, 1.89707E-002,4096
N,m,-1.99245E-001,-5.21385E-003, 2.14386E-002, 8.35102E-003, 2.81821E-002, 2.83572E-002,4096
N,m,-2.29599E-001, 4.69409E-002, 2.94487E-002, 8.26985E-003, 2.66181E-002, 3.33040E-002,4096
N,m,-3.79518E-001, 7.60926E-003, 3.87130E-002, 5.70863E-002, 2.83561E-002, 3.33330E-002,4096
N,m,-1.39861E-001, 5.32845E-002,-5.95314E-003, 6.79490E-002, 2.97309E-002, 2.37798E-002,4096
N,m,-2.90571E-001, 1.41444E-002, 2.95357E-002, 5.71815E-002, 2.96511E-002, 1.89274E-002,4096
N,m,-2.58752E-001, 4.02304E-002, 2.91210E-002, 1.83901E-002, 2.84832E-002, 4.28695E-002,4096
N,m, 1.01883E-001, 5.99540E-002, 5.56635E-002,-1.19320E-002, 2.49521E-002, 3.33643E-002,4096
N,m,-1.69842E-001, 2.08833E-002, 1.22917E-002, 1.83259E-002, 2.80631E-002, 2.36340E-002,4096
N,m,-4.81050E-002, 4.01226E-002,-1.42362E-002, 9.76835E-002, 2.99999E-002, 3.34081E-002,4096
N,m,-1.73506E-002, 7.31047E-002,-4.32648E-003, 7.74848E-002, 2.28337E-002, 4.31650E-002,4096
N,m, 1.64568E-001, 5.33966E-002, 4.82016E-002, 3.72819E-002, 2.22048E-002, 5.27073E-002,4096
N,m, 4.43291E-002, 4.69599E-002, 3.94973E-002, 1.79199E-002, 2.22892E-002, 5.74131E-002,4096
N,m,-1.38303E-001, 3.98863E-002, 6.36556E-002, 5.69448E-002, 3.00669E-002, 3.82143E-002,4096
N,m,-7.85858E-002, 5.31156E-002, 4.65142E-002, 5.71042E-002, 2.83150E-002, 3.34554E-002,4096
N,m,-1.99496E-001, 3.37664E-002, 2.08203E-002, 4.76707E-002, 2.82053E-002, 2.85479E-002,4096
N,m,-1.78790E-002, 7.94295E-002, 2.87210E-003, 3.85350E-002, 2.68421E-002, 4.30057E-002,4096
N,m,-7.86387E-002, 4.04583E-002, 2.12216E-002, 1.81713E-002, 2.58213E-002, 3.33252E-002,4096
N,m,-2.60875E-001, 2.71720E-002, 5.58511E-002, 6.62302E-002, 2.79226E-002, 1.42641E-002,4096
N,m,-2.61486E-001, 5.98343E-002, 4.63809E-002, 4.69220E-002, 2.78631E-002, 1.42648E-002,4096
N,m,-2.60831E-001, 2.71879E-002, 6.47623E-002, 6.59691E-002, 2.71104E-002, 1.42938E-002,4096
N,m, 7.33083E-002, 7.27647E-002, 6.44722E-002, 3.71166E-002, 2.45256E-002, 4.79330E-002,4096
N,m,-1.38553E-001, 5.33220E-002, 2.94627E-002, 3.77936E-002, 2.67632E-002, 3.81951E-002,4096
N,m,-1.70004E-001, 4.67729E-002, 2.03508E-002, 4.77045E-002, 2.88992E-002, 2.37684E-002,4096
N,m,-7.96026E-002, 5.97734E-002, 2.90624E-002, 5.72989E-002, 2.80891E-002, 2.38563E-002,4096
N,m,-7.71911E-002, 4.64490E-002, 6.38894E-002, 4.72057E-002, 2.86347E-002, 4.78200E-002,4096
N,m, 4.35862E-002, 8.57042E-002, 4.67240E-002, 6.70839E-002, 2.54765E-002, 5.27892E-002,4096
N,m, 1.93550E-001, 8.62516E-002, 2.30523E-002, 1.05838E-001, 1.78765E-002, 3.86261E-002,4096
